Data Atividade,CH,CPF,Nome,Atividade
03/03/2024,"0,5",160.334.169-14,Pedro Costa,Atividade 1
10/09/2024,3,160.334.169-14,Pedro Costa,Atividade 4
25/05/2024,"1,5",160.334.169-14,Pedro Costa,Atividade 3
03/03/2024,"0,5",180.187.849-72,Pedro Rodrigues,Atividade 1
05/11/2024,"0,5",180.187.849-72,Pedro Rodrigues,Atividade 5
10/09/2024,3,180.187.849-72,Pedro Rodrigues,Atividade 4
19/05/2024,2,180.187.849-72,Pedro Rodrigues,Atividade 2
25/05/2024,"1,5",180.187.849-72,Pedro Rodrigues,Atividade 3
10/09/2024,3,181.975.338-22,Ana Pereira,Atividade 4
25/05/2024,"1,5",181.975.338-22,Ana Pereira,Atividade 3
03/03/2024,"0,5",193.873.148-24,Julia Rodrigues,Atividade 1
10/09/2024,3,193.873.148-24,Julia Rodrigues,Atividade 4
19/05/2024,2,193.873.148-24,Julia Rodrigues,Atividade 2
25/05/2024,"1,5",193.873.148-24,Julia Rodrigues,Atividade 3
03/03/2024,"0,5",194.489.199-55,Felipe Rodrigues,Atividade 1
05/11/2024,"0,5",194.489.199-55,Felipe Rodrigues,Atividade 5
10/09/2024,3,194.489.199-55,Felipe Rodrigues,Atividade 4
19/05/2024,2,194.489.199-55,Felipe Rodrigues,Atividade 2
25/05/2024,"1,5",194.489.199-55,Felipe Rodrigues,Atividade 3
03/03/2024,"0,5",195.323.338-74,Mariana Nascimento,Atividade 1
05/11/2024,"0,5",195.323.338-74,Mariana Nascimento,Atividade 5
10/09/2024,3,195.323.338-74,Mariana Nascimento,Atividade 4
19/05/2024,2,195.323.338-74,Mariana Nascimento,Atividade 2
25/05/2024,"1,5",195.323.338-74,Mariana Nascimento,Atividade 3
03/03/2024,"0,5",208.991.740-48,José Pereira,Atividade 1
10/09/2024,3,208.991.740-48,José Pereira,Atividade 4
25/05/2024,"1,5",208.991.740-48,José Pereira,Atividade 3
03/03/2024,"0,5",214.471.999-49,Felipe Rodrigues,Atividade 1
05/11/2024,"0,5",214.471.999-49,Felipe Rodrigues,Atividade 5
10/09/2024,3,214.471.999-49,Felipe Rodrigues,Atividade 4
19/05/2024,2,214.471.999-49,Felipe Rodrigues,Atividade 2
25/05/2024,"1,5",214.471.999-49,Felipe Rodrigues,Atividade 3
03/03/2024,"0,5",242.352.862-81,Mateus Santos,Atividade 1
05/11/2024,"0,5",242.352.862-81,Mateus Santos,Atividade 5
10/09/2024,3,242.352.862-81,Mateus Santos,Atividade 4
19/05/2024,2,242.352.862-81,Mateus Santos,Atividade 2
03/03/2024,"0,5",256.742.263-97,Ana Almeida,Atividade 1
19/05/2024,2,256.742.263-97,Ana Almeida,Atividade 2
25/05/2024,"1,5",256.742.263-97,Ana Almeida,Atividade 3
