Data Atividade,CH,CPF,Nome,Atividade,ConferenciaCPF,Impactado
2024-03-03,0.5,160.334.169-14,Pedro Costa,Atividade 1,16033416914,0
2024-05-25,1.5,160.334.169-14,Pedro Costa,Atividade 3,16033416914,1
2024-09-10,3.0,160.334.169-14,Pedro Costa,Atividade 4,16033416914,0
2024-03-03,0.5,180.187.849-72,Pedro Rodrigues,Atividade 1,18018784972,0
2024-05-19,2.0,180.187.849-72,Pedro Rodrigues,Atividade 2,18018784972,1
2024-05-25,1.5,180.187.849-72,Pedro Rodrigues,Atividade 3,18018784972,0
2024-09-10,3.0,180.187.849-72,Pedro Rodrigues,Atividade 4,18018784972,0
2024-11-05,0.5,180.187.849-72,Pedro Rodrigues,Atividade 5,18018784972,0
2024-05-25,1.5,181.975.338-22,Ana Pereira,Atividade 3,18197533822,1
2024-09-10,3.0,181.975.338-22,Ana Pereira,Atividade 4,18197533822,0
2024-03-03,0.5,193.873.148-24,Julia Rodrigues,Atividade 1,19387314824,0
2024-05-19,2.0,193.873.148-24,Julia Rodrigues,Atividade 2,19387314824,1
2024-05-25,1.5,193.873.148-24,Julia Rodrigues,Atividade 3,19387314824,0
2024-09-10,3.0,193.873.148-24,Julia Rodrigues,Atividade 4,19387314824,0
2024-03-03,0.5,194.489.199-55,Felipe Rodrigues,Atividade 1,19448919955,0
2024-05-19,2.0,194.489.199-55,Felipe Rodrigues,Atividade 2,19448919955,1
2024-05-25,1.5,194.489.199-55,Felipe Rodrigues,Atividade 3,19448919955,0
2024-09-10,3.0,194.489.199-55,Felipe Rodrigues,Atividade 4,19448919955,0
2024-11-05,0.5,194.489.199-55,Felipe Rodrigues,Atividade 5,19448919955,0
2024-03-03,0.5,195.323.338-74,Mariana Nascimento,Atividade 1,19532333874,0
2024-05-19,2.0,195.323.338-74,Mariana Nascimento,Atividade 2,19532333874,1
2024-05-25,1.5,195.323.338-74,Mariana Nascimento,Atividade 3,19532333874,0
2024-09-10,3.0,195.323.338-74,Mariana Nascimento,Atividade 4,19532333874,0
2024-11-05,0.5,195.323.338-74,Mariana Nascimento,Atividade 5,19532333874,0
2024-03-03,0.5,208.991.740-48,José Pereira,Atividade 1,20899174048,0
2024-05-25,1.5,208.991.740-48,José Pereira,Atividade 3,20899174048,1
2024-09-10,3.0,208.991.740-48,José Pereira,Atividade 4,20899174048,0
2024-03-03,0.5,214.471.999-49,Felipe Rodrigues,Atividade 1,21447199949,0
2024-05-19,2.0,214.471.999-49,Felipe Rodrigues,Atividade 2,21447199949,1
2024-05-25,1.5,214.471.999-49,Felipe Rodrigues,Atividade 3,21447199949,0
2024-09-10,3.0,214.471.999-49,Felipe Rodrigues,Atividade 4,21447199949,0
2024-11-05,0.5,214.471.999-49,Felipe Rodrigues,Atividade 5,21447199949,0
2024-03-03,0.5,242.352.862-81,Mateus Santos,Atividade 1,24235286281,0
2024-05-19,2.0,242.352.862-81,Mateus Santos,Atividade 2,24235286281,1
2024-09-10,3.0,242.352.862-81,Mateus Santos,Atividade 4,24235286281,0
2024-11-05,0.5,242.352.862-81,Mateus Santos,Atividade 5,24235286281,0
2024-03-03,0.5,256.742.263-97,Ana Almeida,Atividade 1,25674226397,0
2024-05-19,2.0,256.742.263-97,Ana Almeida,Atividade 2,25674226397,1
2024-05-25,1.5,256.742.263-97,Ana Almeida,Atividade 3,25674226397,0
2024-05-19,2.0,261.564.103-43,Felipe Almeida,Atividade 2,26156410343,1
2024-09-10,3.0,261.564.103-43,Felipe Almeida,Atividade 4,26156410343,0
2024-03-03,0.5,296.821.171-15,José Pereira,Atividade 1,29682117115,0
2024-05-19,2.0,296.821.171-15,José Pereira,Atividade 2,29682117115,1
2024-05-25,1.5,296.821.171-15,José Pereira,Atividade 3,29682117115,0
2024-09-10,3.0,296.821.171-15,José Pereira,Atividade 4,29682117115,0
2024-11-05,0.5,296.821.171-15,José Pereira,Atividade 5,29682117115,0
2024-05-25,1.5,303.256.482-30,Felipe Pereira,Atividade 3,30325648230,1
